		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	SIC 1	SIC 2	SIC 3	SIC 4	SIC 6	SIC 7	SIC 8
								
market_minus_rf	Market	1.653***	1.180***	1.178***	1.111***	0.756***	1.171***	1.081***
		(0.0533)	(0.0496)	(0.0430)	(0.0814)	(0.0592)	(0.0268)	(0.0731)
hml	HML	0.268	-0.217	0.0667	0.159**	0.173***	0.0227	0.148*
		(0.172)	(0.147)	(0.0684)	(0.0640)	(0.0476)	(0.0480)	(0.0762)
smb	SMB	0.728***	0.706***	0.790***	0.327**	0.260***	0.736***	0.558***
		(0.134)	(0.171)	(0.154)	(0.106)	(0.0507)	(0.170)	(0.139)
rmw	RMW	0.0815	-0.266	-0.0344	-0.445*	0.215**	-0.0445	-0.399**
		(0.0944)	(0.221)	(0.137)	(0.242)	(0.0907)	(0.0875)	(0.133)
cma	CMA	0.907***	0.484***	0.344	0.454**	0.0327	-0.220*	-0.0445
		(0.190)	(0.0784)	(0.203)	(0.177)	(0.0542)	(0.109)	(0.177)
emp	ESG	0.0428	0.0282	0.00468	0.0167	-0.0129	0.0231	0.00313
		(0.0427)	(0.0284)	(0.0344)	(0.0565)	(0.00860)	(0.0300)	(0.0175)
Constant	Constant	-0.0128***	-0.000867	0.00260	0.00106	-0.00191	0.00718**	-0.00289
		(0.00263)	(0.00247)	(0.00179)	(0.00350)	(0.00127)	(0.00314)	(0.00218)
								
Observations		1,017	1,009	1,016	1,003	1,036	1,010	993
R-squared		0.600	0.698	0.766	0.594	0.781	0.715	0.575
Number of groups		10	10	10	10	10	10	10
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
