		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	SIC 1	SIC 2	SIC 3	SIC 4	SIC 6	SIC 7	SIC 8
								
market_minus_rf	Market	1.586***	1.130***	1.166***	1.063***	0.743***	1.158***	1.060***
		(0.0505)	(0.0462)	(0.0443)	(0.0632)	(0.0638)	(0.0348)	(0.0721)
hml	HML	0.351*	-0.160	0.120	0.176***	0.140**	0.00324	0.0610
		(0.157)	(0.148)	(0.0780)	(0.0414)	(0.0465)	(0.0677)	(0.0706)
smb	SMB	0.816***	0.740***	0.760***	0.409***	0.255***	0.772***	0.494***
		(0.111)	(0.175)	(0.145)	(0.108)	(0.0451)	(0.159)	(0.144)
rmw	RMW	0.000434	-0.306	-0.115	-0.373	0.147*	-0.0377	-0.522**
		(0.0910)	(0.287)	(0.103)	(0.213)	(0.0707)	(0.0577)	(0.188)
cma	CMA	0.804***	0.325***	0.212	0.350*	0.0153	-0.115	-0.0508
		(0.148)	(0.0753)	(0.134)	(0.163)	(0.0410)	(0.141)	(0.179)
emp	ESG	0.116***	-0.0748*	0.0100	-0.0176	-0.0160	-0.00269	0.0321
		(0.0262)	(0.0353)	(0.0106)	(0.0447)	(0.0111)	(0.0397)	(0.0324)
Constant	Constant	-0.0133***	0.00155	0.00314	0.000687	-0.00106	0.00757*	-0.00106
		(0.00251)	(0.00267)	(0.00195)	(0.00389)	(0.00133)	(0.00336)	(0.00128)
								
Observations		1,150	1,150	1,150	1,147	1,150	1,150	1,138
R-squared		0.583	0.686	0.745	0.574	0.762	0.693	0.549
Number of groups		10	10	10	10	10	10	10
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
